id;transaction_date;description;reference_number;posted
1;2023-07-18;portals coulomb Latin;Fresh Extensions;true
2;2023-07-18;open Wooden;revolutionize Soft ducimus;true
3;2023-07-17;illo Wagon;nonconforming optimize;false
4;2023-07-17;South Convertible;generating Cheese;true
5;2023-07-17;quantify Northeast firewall;roughly Northwest;false
6;2023-07-18;Strategist static;Fish trap;true
7;2023-07-18;encompassing male invoice;Ford Paradigm gold;false
8;2023-07-18;West;Metal;true
9;2023-07-18;adipisci green;gold Sleek eaque;false
10;2023-07-18;Ball Table pace;Coordinator;false
